s+a,3
l+,3
+l,1
u+e,3
r+Ã,3
Ã+¨,1
l+e,4
u+-,1
'+a,3
o+y,1
+r,1
c+o,3
g+r,2
+u,1
+q,1
a+,2
t+r,1
+d,6
Ã+,3
c+i,1
t+a,2
Ã+´,2
d+e,4
u+n,1
u+,3
u+s,2
+c,5
+p,2
¨+r,1
x+,2
l+Ã,1
p+p,1
i+l,4
+j,3
m+e,5
r+e,6
p+r,2
©+f,2
a+n,4
h+a,2
r+a,3
e+a,1
l+l,4
y+e,1
n+,2
n+j,1
e+s,4
c+h,2
u+r,5
l+u,1
r+,4
v+o,3
l+a,2
sum,351
f+a,1
j+',3
j+e,4
i+c,1
g+e,1
e+,11
u+',1
u+d,1
d+u,1
o+u,7
n+s,3
t+u,2
e+r,4
i+v,1
©+s,1
p+e,1
+s,1
©+r,1
p+i,1
n+u,1
n+n,3
n+Ã,1
i+m,3
n+i,2
s+o,2
n+e,2
+a,4
a+p,1
a+v,1
o+n,5
q+u,2
d+Ã,2
o+r,1
t+Ã,1
m+m,2
+e,1
j+o,5
Ã+©,9
s+,3
o+l,1
+,2
s+s,1
d+a,1
©+t,1
n+c,2
l+i,1
+v,3
i+s,2
n+t,2
z+-,1
n+g,1
v+i,1
b+i,2
©+l,1
i+n,1
e+l,2
t+,4
r+s,1
e+v,1
i+o,1
v+a,1
b+o,4
o+i,3
n+v,1
t+e,2
a+t,1
i+e,3
'+e,1
+t,2
+h,1
i+r,4
a+d,2
e+u,3
r+n,1
u+x,2
+b,1
´+t,1
o+m,2
-+d,1
u+t,1
s+t,2
a+i,10
t+i,1
e+m,1
h+Ã,1
a+l,4
e+n,7
v+e,3
+f,1
f+Ã,3
s+u,1
d+o,2
m+a,1
e+z,1
´+p,1
+Ã,1
©+e,2
a+u,2
d+r,1
-+v,1
u+l,1
c+e,3
i+t,4
